postcode,longitude,latitude
1233,151.2053,-33.8787
1234,151.2053,-33.8787
1235,151.2053,-33.8787
1236,151.2053,-33.8787
1237,151.2053,-33.8787
1238,151.2053,-33.8787
1239,151.2053,-33.8787
1240,151.2053,-33.8787
1291,151.2073,-33.8678
1292,151.2073,-33.8678
1293,151.2073,-33.8678
1294,151.2073,-33.8678
1295,151.2073,-33.8678
1296,151.2073,-33.8678
1297,151.2073,-33.8678
1298,151.2073,-33.8678
1299,151.2073,-33.8678
1300,151.2193,-33.8794
1311,151.2313,-33.8784
1312,151.2313,-33.8784
1313,151.2313,-33.8784
1314,151.2313,-33.8784
1315,151.2313,-33.8784
1316,151.2313,-33.8784
1317,151.2313,-33.8784
1318,151.2313,-33.8784
1319,151.2313,-33.8784
1320,151.2313,-33.8784
1321,151.2313,-33.8784
1322,151.2313,-33.8784
1323,151.2313,-33.8784
1324,151.2313,-33.8784
1325,151.2313,-33.8784
1326,151.2313,-33.8784
1327,151.2313,-33.8784
1328,151.2313,-33.8784
1329,151.2313,-33.8784
1330,151.2248,-33.8693
1331,151.2248,-33.8693
1332,151.2248,-33.8693
1333,151.2248,-33.8693
1334,151.2248,-33.8693
1335,151.222,-33.8713
1340,151.2223,-33.875
1350,151.2368,-33.8878
1355,151.2472,-33.8928
1360,151.2435,-33.8778
1363,151.2138,-33.9014
1391,151.2313,-33.8784
1401,151.1522,-33.9475
1416,151.1522,-33.9475
1419,151.1522,-33.9475
1420,151.1522,-33.9475
1421,151.1522,-33.9475
1422,151.1522,-33.9475
1423,151.1522,-33.9475
1424,151.1522,-33.9475
1425,151.1522,-33.9475
1426,151.1522,-33.9475
1427,151.1522,-33.9475
1428,151.1522,-33.9475
1429,151.1522,-33.9475
1430,151.1924,-33.8956
1435,151.2004,-33.9022
1440,151.2,-33.9167
1445,151.2,-33.9167
1450,151.1764,-33.8897
1455,151.1959,-33.946
1460,151.1935,-33.926
1465,151.2224,-33.9202
1466,151.2083,-33.925
1470,151.1549,-33.8524
1475,151.1518,-33.9032
1480,151.0993,-33.9393
1481,151.1109,-33.9687
1484,151.1109,-33.9687
1485,151.1167,-33.9833
1487,151.1167,-33.9833
1490,151.1001,-34.0386
1493,151.0903,-33.9799
1495,151.1205,-34.0473
1499,151.0553,-34.031
1515,151.1649,-33.794
1560,151.2222,-33.8094
1565,151.2119,-33.846
1570,151.1833,-33.8167
1582,151.2019,-33.8265
1585,151.2019,-33.8265
1590,151.1984,-33.8234
1595,151.1668,-33.8157
1597,151.1668,-33.8157
1602,151.1998,-33.7554
1630,151.0993,-33.7024
1635,151.1,-33.7
1639,151.2232,-33.7482
1640,151.2232,-33.7482
1655,151.2883,-33.798
1658,151.3031,-33.6776
1660,151.3031,-33.6776
1670,151.1288,-33.8151
1671,151.1244,-33.7968
1675,151.1333,-33.8333
1680,151.1062,-33.8188
1685,151.0739,-33.8054
1690,151.1998,-33.7554
1691,151.1998,-33.7554
1692,151.1998,-33.7554
1693,151.1998,-33.7554
1694,151.1998,-33.7554
1695,151.1998,-33.7554
1696,151.1998,-33.7554
1697,151.1998,-33.7554
1698,151.1998,-33.7554
1699,151.1998,-33.7554
1700,151.0547,-33.8148
1701,151.0294,-33.7613
1710,151.0818,-33.7727
1712,151.0818,-33.7727
1715,151.0722,-33.7378
1730,150.9333,-33.7833
1740,151.0294,-33.7613
1741,151.0294,-33.7613
1750,151.0012,-33.7935
1755,150.9929,-33.7588
1765,151.0,-33.7333
1771,151.0722,-33.7378
1781,151.0294,-33.7613
1790,151.0294,-33.7613
1797,151.0294,-33.7613
1800,151.1227,-33.8883
1805,151.1,-33.8833
1811,151.0473,-33.8334
1825,151.0397,-33.8644
1826,151.0397,-33.8644
1830,151.0167,-33.8333
1831,151.0167,-33.8333
1835,151.0333,-33.85
1848,150.9839,-33.8643
1851,151.0086,-33.8872
1860,150.95,-33.8667
1871,150.9333,-33.9
1875,150.9377,-33.9425
1885,151.0333,-33.9167
1888,151.0333,-33.9167
1890,150.8667,-34.0
1891,150.9815,-33.9393
1900,150.9844,-33.8816
1902,150.9844,-33.8816
2000,151.2073,-33.8678
2001,151.2073,-33.8678
2002,151.2025,-33.8699
2004,151.2025,-33.8699
2006,151.2025,-33.8699
2007,151.2025,-33.8699
2008,151.1955,-33.891
2009,151.194,-33.8698
2010,151.2193,-33.8794
2011,151.2223,-33.875
2012,150.9677,-33.9032
2015,151.1924,-33.8956
2016,151.2041,-33.8928
2017,151.2,-33.9167
2018,151.2,-33.9167
2019,151.1959,-33.946
2020,151.1862,-33.939
2021,151.2315,-33.8842
2022,151.2472,-33.8995
2023,151.251,-33.879
2024,151.2656,-33.902
2025,151.2368,-33.8878
2026,151.2706,-33.8984
2027,151.2389,-33.8706
2028,151.2435,-33.8778
2029,151.2706,-33.8688
2030,151.2775,-33.8555
